 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Período:2017
"Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"Idade ignorada";"Total"
"11 Rondônia";234;4817;7869;6925;4919;2271;439;27;-;2;-;-;27503
"12 Acre";280;3867;4338;3366;2624;1460;379;29;3;-;-;12;16358
"13 Amazonas";1251;18323;21916;16265;11923;6586;1653;132;13;1;-;3;78066
"14 Roraima";196;2500;3195;2639;1938;981;264;19;2;1;-;2;11737
"15 Pará";1867;31949;42050;30841;20158;9367;2268;166;12;4;-;2;138684
"16 Amapá";215;3372;4130;3391;2524;1354;385;25;1;-;-;2;15399
"17 Tocantins";287;4951;6805;5945;4441;2040;440;26;-;-;-;-;24935
"21 Maranhão";1521;26192;32993;25886;17071;7547;1634;130;8;3;-;-;112985
"22 Piauí";538;9359;12686;11733;9124;4145;914;50;2;-;-;-;48551
"23 Ceará";1199;21535;33522;30500;24664;12963;3194;203;15;1;1;-;127797
"24 Rio Grande do Norte";407;7828;11794;10875;9184;4892;1174;63;4;-;1;-;46222
"25 Paraíba";550;9854;14792;13872;11078;5855;1414;72;6;-;-;-;57493
"26 Pernambuco";1233;25210;36279;32466;24569;12936;3047;170;15;3;4;-;135932
"27 Alagoas";724;11625;14340;10886;7938;3816;991;44;3;1;-;-;50368
"28 Sergipe";331;6325;8609;7542;6491;3613;904;50;2;-;-;-;33867
"29 Bahia";2155;36712;50682;46209;40320;22271;5363;353;28;2;1;-;204096
"31 Minas Gerais";1309;34737;61153;63971;56968;34526;7811;457;19;4;2;2;260959
"32 Espírito Santo";371;7816;12901;13672;12438;7049;1513;82;4;-;-;-;55846
"33 Rio de Janeiro";1479;33757;55938;51765;45015;27985;6846;414;21;-;1;3;223224
"35 São Paulo";2432;71626;137865;148656;142210;87502;20308;1136;48;9;3;8;611803
"41 Paraná";877;21444;38525;39654;33710;18968;4253;253;10;1;-;6;157701
"42 Santa Catarina";377;11314;22892;25248;22643;12914;2798;143;5;-;1;-;98335
"43 Rio Grande do Sul";589;17574;31897;33692;32124;20575;4835;271;9;-;-;2;141568
"50 Mato Grosso do Sul";475;7422;11962;10949;8513;4460;908;54;4;-;-;-;44747
"51 Mato Grosso";518;9430;15851;14554;10728;5062;1059;60;6;3;-;-;57271
"52 Goiás";597;14413;25705;24889;19757;9836;2189;115;12;2;2;3;97520
"53 Distrito Federal";134;4825;9429;10472;10694;7128;1748;125;11;-;2;-;44568
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";22146;458777;730118;696863;593766;338102;78731;4669;263;37;18;45;2923535
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
