,2014,2015,2016,2017,2018,2019,2020,2021
Brasil,1052.0,1113.0,1226.0,1268.0,1373.0,1438.67,1380.0,1367.0
Rondônia,762.0,823.0,901.0,957.0,1113.0,1136.48,1169.0,1023.0
Acre,670.0,752.0,761.0,769.0,909.0,889.95,917.0,888.0
Amazonas,739.0,753.0,739.0,850.0,791.0,842.08,852.0,800.0
Roraima,871.0,1008.0,1068.0,1006.0,1204.0,1043.94,983.0,1046.0
Pará,631.0,671.0,708.0,715.0,863.0,806.76,883.0,847.0
Amapá,753.0,840.0,881.0,936.0,857.0,879.67,893.0,855.0
Tocantins,765.0,816.0,863.0,937.0,1045.0,1055.6,1060.0,1028.0
Maranhão,461.0,509.0,575.0,597.0,605.0,635.59,676.0,635.0
Piauí,659.0,728.0,747.0,750.0,817.0,826.81,859.0,837.0
Ceará,616.0,681.0,751.0,824.0,855.0,942.36,1028.0,881.0
Rio Grande do Norte,695.0,819.0,919.0,845.0,956.0,1056.59,1077.0,1109.0
Paraíba,682.0,774.0,790.0,928.0,898.0,928.86,892.0,876.0
Pernambuco,802.0,825.0,872.0,852.0,871.0,970.11,897.0,829.0
Alagoas,604.0,598.0,662.0,658.0,714.0,730.86,796.0,777.0
Sergipe,758.0,782.0,878.0,834.0,906.0,979.78,1028.0,929.0
Bahia,697.0,736.0,773.0,862.0,841.0,912.81,965.0,843.0
Minas Gerais,1049.0,1128.0,1168.0,1224.0,1322.0,1357.59,1314.0,1325.0
Espírito Santo,1052.0,1074.0,1157.0,1205.0,1295.0,1476.55,1347.0,1295.0
Rio de Janeiro,1193.0,1284.0,1429.0,1445.0,1689.0,1881.57,1723.0,1724.0
São Paulo,1432.0,1482.0,1723.0,1712.0,1898.0,1945.73,1814.0,1836.0
Paraná,1210.0,1241.0,1398.0,1472.0,1607.0,1620.88,1508.0,1541.0
Santa Catarina,1245.0,1368.0,1458.0,1597.0,1660.0,1769.45,1632.0,1718.0
Rio Grande do Sul,1318.0,1434.0,1554.0,1635.0,1705.0,1842.98,1759.0,1787.0
Mato Grosso do Sul,1053.0,1044.0,1283.0,1291.0,1439.0,1514.31,1488.0,1471.0
Mato Grosso,1032.0,1053.0,1139.0,1247.0,1386.0,1402.87,1401.0,1362.0
Goiás,1031.0,1078.0,1140.0,1277.0,1323.0,1306.31,1258.0,1276.0
Distrito Federal,2055.0,2254.0,2351.0,2548.0,2460.0,2685.76,2475.0,2513.0
